msme_id,business_name,pan,gstin,sector,city,state,years_in_business,persona
MSME001,Sharma Precision Works,GPOSS4428Y,27XAJI0Y6DPB1ZN,Manufacturing,Pune,Maharashtra,6,healthy_manufacturer
MSME002,Patel Kirana & General Store,JOWZT9217F,24UFEL6246HI1ZG,Retail,Ahmedabad,Gujarat,13,healthy_retail
MSME003,Gupta Trading Company,VKBQB1539D,07W1DAKRM8J51ZH,Retail,Delhi,Delhi,3,distressed
MSME004,Krishi Mitra Agro Supplies,QMSQD0091H,27V37DIA5U6H1ZE,Agri-Input,Nagpur,Maharashtra,6,agri_favorable
MSME005,"Datta, Gola and Nath",DBCXI7512O,33VNU80B6UGV1Z6,Manufacturing,Rajahmundry,Tamil Nadu,15,random
MSME006,Deep Ltd,XLCRV3305J,33E1ZHWY9HEC1ZL,Textiles,Amaravati,Tamil Nadu,5,random
MSME007,"Ravel, Bumb and Boase",YXURQ9329P,298K0AXYCELO1Z6,Pharma,Karawal Nagar,Karnataka,5,random
MSME008,Padmanabhan-Hora,AFDVV9255M,246YUJ7YKTXG1ZU,Logistics,Ambarnath,Gujarat,14,random
MSME009,Dugar LLC,EDFFB3253W,27QM3P91I3VM1Z1,Food Processing,Salem,Maharashtra,9,random
MSME010,Walia-Menon,HLDPQ6484C,27BQGU3OBYGH1ZL,Agri-Input,Dehradun,Maharashtra,10,random
MSME011,Manda-Dhaliwal,VHHMS0819O,24WYOO5YBRJN1ZV,Textiles,Deoghar,Gujarat,8,random
MSME012,Toor Group,KZHKW7671W,27AEXL68J0NM1ZH,Manufacturing,Mysore,Maharashtra,11,random
MSME013,Behl Ltd,JNHRP2938A,07QOLOEAZC0B1ZE,Textiles,Haridwar,Delhi,18,random
MSME014,Korpal-Hayre,TYLLP0106H,33K82853UY8U1ZP,Manufacturing,Serampore,Tamil Nadu,15,random
MSME015,Kala-Bajaj,ENLVO4757A,296RPKZGGM0J1Z9,Services,Proddatur,Karnataka,17,random
MSME016,Baria LLC,ELWUH1296E,33DQ55IT9BN11ZD,Retail,Hubli–Dharwad,Tamil Nadu,16,random
MSME017,"Sarraf, Tandon and Ramaswamy",KPFRI5939N,07XCHFU131XQ1ZS,Agri-Input,Shimoga,Delhi,14,random
MSME018,"Bhavsar, Purohit and Loke",DNZIH0963K,33Z1RO03CINY1Z4,Retail,Anantapur,Tamil Nadu,6,random
MSME019,Batta-Virk,MHYZO1594W,277ORFQLA09L1ZS,Food Processing,Faridabad,Maharashtra,8,random
MSME020,Devi-Chaudhuri,CBBRZ3616D,07Y89SFQERI71ZB,Agri-Input,Giridih,Delhi,10,random
MSME021,Brar-Dua,YWFYY6699G,29Q5EGVLKDNO1ZY,Textiles,Cuttack,Karnataka,16,random
MSME022,Tripathi-Atwal,XWSMW7349U,337MZAKGMIH61ZV,Pharma,Sangli-Miraj & Kupwad,Tamil Nadu,11,random
MSME023,Oza-Shah,HCDXG9802T,27TKG1F8YC8G1ZD,Manufacturing,Gudivada,Maharashtra,17,random
MSME024,Basak-Garg,XARJU1932Z,279HKHJG4IHG1ZQ,Agri-Input,Ulhasnagar,Maharashtra,7,random
MSME025,"Bajwa, Saran and Bhalla",RSLMH1861D,2904OAE7L0RC1Z9,Textiles,Raebareli,Karnataka,15,random
MSME026,Naidu PLC,GXKQQ8123I,24NZHG8Q3GCG1ZM,Services,Bardhaman,Gujarat,3,random
MSME027,Dar Ltd,KDZLA6011R,08FHWJWXZUXS1ZK,Textiles,Sri Ganganagar,Rajasthan,5,random
MSME028,Rastogi Group,HUQGV5036L,294KJEITKX7J1ZI,Food Processing,Guntur,Karnataka,12,random
MSME029,Maharaj-Nair,JRNGW6667H,278RNKOWYPSW1ZU,Services,Ahmedabad,Maharashtra,15,random
MSME030,"Tiwari, Mangal and Sankaran",RLVFB4021O,33CKHHUZ83YU1Z0,Logistics,Raiganj,Tamil Nadu,18,random
MSME031,Divan-Dutta,YDRNH5140J,24BSMWPQ82K81Z5,Food Processing,Shimla,Gujarat,12,random
MSME032,Chopra-Sahota,SQHFD9272L,07Z72KXSJZSB1Z0,Logistics,Thrissur,Delhi,18,random
MSME033,"Nagarajan, Mitra and Ghose",YWTAB5214I,24EN7YJF30KH1ZF,Retail,Ambattur,Gujarat,8,random
MSME034,Comar Inc,IRXXE9730V,27P4CWCDT9GW1ZB,Services,Raipur,Maharashtra,11,random
MSME035,Devan Inc,LMEPQ5477J,29OXUCR9C0TK1ZU,Textiles,Hajipur,Karnataka,15,random
MSME036,Bhakta-Narayanan,WPEYZ6772I,29SLTDKVUFF11ZK,Logistics,Davanagere,Karnataka,16,random
MSME037,Acharya Ltd,TUQUZ0682M,089YSU51EPXU1ZC,Agri-Input,Moradabad,Rajasthan,16,random
MSME038,Sem and Sons,AYSIC4768M,33E9WT00IV1G1ZL,Agri-Input,Shimoga,Tamil Nadu,4,random
MSME039,"Sarin, Soman and Sharaf",DNGSO9773O,07EWHO5QQ8QM1ZZ,Logistics,Miryalaguda,Delhi,4,random
MSME040,Mitra PLC,KADIZ6307V,08MQQ749Q6QF1ZY,Retail,Panipat,Rajasthan,11,random
